zone,country,scfd2_plant,scfd3_plant,match_score,canonical_name,beerometer_plant
AFR,Botswana,Botswana Central,Botswana Central,1.0,Botswana Central,
AFR,Botswana,CCBA Elimination,,,CCBA Elimination,
AFR,Botswana,KBL - Beer Production,KBL - Beer Production,1.0,KBL - Beer Production,Kgalagadi Beer
AFR,Botswana,KBL - CSD - Production,,,KBL - CSD - Production,
AFR,Botswana,KBL - Distribution,,,KBL - Distribution,
AFR,Botswana,KBL - Distribution - Francistown,,,KBL - Distribution - Francistown,DC Francistown
AFR,Botswana,KBL - Distribution - Gaborone,,,KBL - Distribution - Gaborone,DC Gaborone
AFR,Botswana,KBL - Distribution - Kanye,,,KBL - Distribution - Kanye,
AFR,Botswana,KBL - Distribution - Maun,,,KBL - Distribution - Maun,
AFR,Botswana,KBL - Distribution - Palapye,,,KBL - Distribution - Palapye,
AFR,Botswana,KBL - Distribution - Phikwe,,,KBL - Distribution - Phikwe,
AFR,Botswana,KBL - HO,,,KBL - HO,
AFR,Botswana,KBL Opaque - Francistown,KBL Opaque - Francistown,1.0,KBL Opaque - Francistown,
AFR,Botswana,KBL Opaque - Gaborone,KBL Opaque - Gaborone,1.0,KBL Opaque - Gaborone,
AFR,Botswana,KBL Opaque - HO,,,KBL Opaque - HO,
AFR,Botswana,KBL Opaque - Lobatse,,,KBL Opaque - Lobatse,
AFR,Botswana,KBL Opaque - Mageu,,,KBL Opaque - Mageu,
AFR,Botswana,KBL Opaque - Palapye,,,KBL Opaque - Palapye,
AFR,Ghana,Accra Brewery -  SSDs,,,Accra Brewery -  SSDs,Accra Beer
AFR,Ghana,Accra Brewery - Head Office,Accra Brewery - Head Office,1.0,Accra Brewery - Head Office,
AFR,Ghana,Accra Brewery - Kumasi Depot,,,Accra Brewery - Kumasi Depot,
AFR,Ghana,Accra Brewery - Obuasi,,,Accra Brewery - Obuasi,
AFR,Ghana,Accra Brewery - Opaque,,,Accra Brewery - Opaque,
AFR,Ghana,Export from MA~46,,,Export from MA~46,
AFR,Ghana,Ghana Central,Ghana Central,1.0,Ghana Central,
AFR,Lesotho,CCBA Elimination,,,CCBA Elimination,
AFR,Lesotho,Lesotho Brewing Company - Marotholi Beverages,,,Lesotho Brewing Company - Marotholi Beverages,
AFR,Lesotho,Lesotho Brewing Company - Opaque Brewery,,,Lesotho Brewing Company - Opaque Brewery,
AFR,Lesotho,Lesotho Central,Lesotho Central,1.0,Lesotho Central,
AFR,Lesotho,Lesotho Liquor Distributors,,,Lesotho Liquor Distributors,
AFR,Lesotho,Maluti Mountain Brewery - Mafeteng Depot,,,Maluti Mountain Brewery - Mafeteng Depot,DC Mafeteng
AFR,Lesotho,Maluti Mountain Brewery - Maputsoe Depot,,,Maluti Mountain Brewery - Maputsoe Depot,DC Maputsoe
AFR,Lesotho,Maluti Mountain Brewery - Maseru Brewery,Maluti Mountain Brewery - Maseru Brewery,1.0,Maluti Mountain Brewery - Maseru Brewery,Lesotho Beer
AFR,Lesotho,Maluti Mountain Brewery - Mohale`s Hoek Depot,,,Maluti Mountain Brewery - Mohale`s Hoek Depot,
AFR,Mauritius,MUBEX,,,MUBEX,
AFR,Mozambique,Beira Brewery,Beira Brewery,1.0,Beira Brewery,
AFR,Mozambique,Cervejas de Mocambique - Beira Brewery,,,Cervejas de Mocambique - Beira Brewery,Beira
AFR,Mozambique,Cervejas de Mocambique - Chimoio Depot,,,Cervejas de Mocambique - Chimoio Depot,
AFR,Mozambique,Cervejas de Mocambique - LV Pemba,,,Cervejas de Mocambique - LV Pemba,
AFR,Mozambique,Cervejas de Mocambique - Lichinga Depot,,,Cervejas de Mocambique - Lichinga Depot,
AFR,Mozambique,Cervejas de Mocambique - Luso Vinhos,,,Cervejas de Mocambique - Luso Vinhos,
AFR,Mozambique,Cervejas de Mocambique - Maheu Maputo,,,Cervejas de Mocambique - Maheu Maputo,
AFR,Mozambique,Cervejas de Mocambique - Maputo Brewery,,,Cervejas de Mocambique - Maputo Brewery,Maputo
AFR,Mozambique,Cervejas de Mocambique - Marracuene Brewery,Cervejas de Mocambique - Marracuene Brewery,1.0,Cervejas de Mocambique - Marracuene Brewery,Marracuene
AFR,Mozambique,Cervejas de Mocambique - Maxixe Depot,,,Cervejas de Mocambique - Maxixe Depot,
AFR,Mozambique,Cervejas de Mocambique - Nacala Depot,,,Cervejas de Mocambique - Nacala Depot,
AFR,Mozambique,Cervejas de Mocambique - Nampula Brewery,,,Cervejas de Mocambique - Nampula Brewery,Nampula
AFR,Mozambique,Cervejas de Mocambique - Opaque Beira,,,Cervejas de Mocambique - Opaque Beira,DC Beira
AFR,Mozambique,Cervejas de Mocambique - Opaque Maputo,,,Cervejas de Mocambique - Opaque Maputo,DC Maputo
AFR,Mozambique,Cervejas de Mocambique - Pemba Depot,,,Cervejas de Mocambique - Pemba Depot,
AFR,Mozambique,Cervejas de Mocambique - Quelimane Depot,,,Cervejas de Mocambique - Quelimane Depot,
AFR,Mozambique,Cervejas de Mocambique - Tete Depot,,,Cervejas de Mocambique - Tete Depot,
AFR,Mozambique,Cervejas de Mocambique - Xai Xai Depot,,,Cervejas de Mocambique - Xai Xai Depot,
AFR,Mozambique,Export from MA~48,,,Export from MA~48,
AFR,Mozambique,Maputo Brewery,Maputo Brewery,1.0,Maputo Brewery,
AFR,Mozambique,Mozambique Central,Mozambique Central,1.0,Mozambique Central,
AFR,Mozambique,Nampula Brewery,Nampula Brewery,1.0,Nampula Brewery,
AFR,Mozambique,Opaque Maputo,,,Opaque Maputo,
AFR,Namibia,ABInBev  Namibia Central,,,ABInBev  Namibia Central,Namibia Beer
AFR,Namibia,ABInBev Namibia North,,,ABInBev Namibia North,
AFR,Namibia,ABInBev Namibia Okahandja,ABInBev Namibia Okahandja,1.0,ABInBev Namibia Okahandja,
AFR,Namibia,ABInBev Namibia South,,,ABInBev Namibia South,
AFR,Namibia,ABInBev Namibia Windhoek,,,ABInBev Namibia Windhoek,
AFR,Namibia,Export from MA~50,,,Export from MA~50,
AFR,Namibia,Namibia Central,Namibia Central,1.0,Namibia Central,
AFR,Namibia,SABMiller Namibia - Windhoek,,,SABMiller Namibia - Windhoek,
AFR,Namibia,SABMiller Namibia Central,,,SABMiller Namibia Central,
AFR,Namibia,SABMiller Namibia North,,,SABMiller Namibia North,
AFR,Namibia,SABMiller Namibia Okahandja,,,SABMiller Namibia Okahandja,
AFR,Namibia,SABMiller Namibia Site 6,,,SABMiller Namibia Site 6,
AFR,Namibia,SABMiller Namibia South,,,SABMiller Namibia South,
AFR,Nigeria,Beverage Management Solutions,,,Beverage Management Solutions,
AFR,Nigeria,Ilesa Brewery,Ilesa Brewery,1.0,Ilesa Brewery,
AFR,Nigeria,Intafact Beverages - Abuja Depot,,,Intafact Beverages - Abuja Depot,DC Abuja
AFR,Nigeria,Intafact Beverages - Benin Depot,,,Intafact Beverages - Benin Depot,DC Benin
AFR,Nigeria,Intafact Beverages - Makurdi Depot,,,Intafact Beverages - Makurdi Depot,DC Makurdi
AFR,Nigeria,Intafact Beverages - NOH Lagos,,,Intafact Beverages - NOH Lagos,
AFR,Nigeria,Intafact Beverages Beer Division,Intafact Beverages Beer Division,1.0,Intafact Beverages Beer Division,Onitsha
AFR,Nigeria,Intafact Beverages Opaque Division,,,Intafact Beverages Opaque Division,
AFR,Nigeria,International Breweries Plc - Ibadan Depot,,,International Breweries Plc - Ibadan Depot,DC Ibadan
AFR,Nigeria,International Breweries Plc - Ilesa Brewery,,,International Breweries Plc - Ilesa Brewery,Ilesa
AFR,Nigeria,International Breweries Plc - Ilorin Depot,,,International Breweries Plc - Ilorin Depot,DC Ilorin
AFR,Nigeria,International Breweries Plc - Isolo Depot Lagos,,,International Breweries Plc - Isolo Depot Lagos,DC Isolo
AFR,Nigeria,International Breweries Plc - Sagamu Brewery,,,International Breweries Plc - Sagamu Brewery,Gateway Brewery
AFR,Nigeria,Nigeria Central,Nigeria Central,1.0,Nigeria Central,
AFR,Nigeria,Nigeria General,,,Nigeria General,
AFR,Nigeria,Pabod Brewery - Aba Depot,,,Pabod Brewery - Aba Depot,
AFR,Nigeria,Pabod Brewery - Port Harcourt,,,Pabod Brewery - Port Harcourt,Port Harcourt
AFR,Nigeria,Pabod Brewery - Warri Depot,,,Pabod Brewery - Warri Depot,
AFR,Nigeria,Port Harcourt,Port Harcourt,1.0,Port Harcourt,
AFR,Nigeria,Sagamu Brewery,Sagamu Brewery,1.0,Sagamu Brewery,
AFR,South Africa,Aliwal North Depot,,,Aliwal North Depot,
AFR,South Africa,Alrode Brewery,Alrode Brewery,1.0,Alrode Brewery,Alrode Beer
AFR,South Africa,Alrode Brewery VLC,,,Alrode Brewery VLC,
AFR,South Africa,Alrode Depot,,,Alrode Depot,DC SAB Alrode Brewery
AFR,South Africa,Baragwanath Depot,,,Baragwanath Depot,
AFR,South Africa,Beer Sales and Distribution,,,Beer Sales and Distribution,
AFR,South Africa,Bellville Depot,,,Bellville Depot,
AFR,South Africa,Bethlehem Depot,,,Bethlehem Depot,
AFR,South Africa,Bloemfontein Depot,,,Bloemfontein Depot,
AFR,South Africa,Butterworth Depot,,,Butterworth Depot,
AFR,South Africa,CAPEREGOFF,,,CAPEREGOFF,
AFR,South Africa,CAPEREGOFF-1CAREGOFF1,,,CAPEREGOFF-1CAREGOFF1,
AFR,South Africa,CAPEREGOFF-1CAREGOFF2,,,CAPEREGOFF-1CAREGOFF2,
AFR,South Africa,CAPEREGOFF-1CAREGPID,,,CAPEREGOFF-1CAREGPID,
AFR,South Africa,CENTREGOFF,,,CENTREGOFF,
AFR,South Africa,Central Office,,,Central Office,
AFR,South Africa,Central Office-1BCOBIS,,,Central Office-1BCOBIS,
AFR,South Africa,Central Office-1BCOCOF,,,Central Office-1BCOCOF,
AFR,South Africa,Central Office-1BCODC,,,Central Office-1BCODC,
AFR,South Africa,Central Office-1BCOFIN,,,Central Office-1BCOFIN,
AFR,South Africa,Central Office-1BCOHR,,,Central Office-1BCOHR,
AFR,South Africa,Central Office-1BCOMANUF,,,Central Office-1BCOMANUF,
AFR,South Africa,Central Office-1BCOMD,,,Central Office-1BCOMD,
AFR,South Africa,Central Office-1BCORPAF,,,Central Office-1BCORPAF,
